22:30:19.919 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:30:19.932 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:30:19.940 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:30:19.943 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:30:20.431 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:30:20.435 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 61869
22:30:20.464 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:33 | ServerSocket-UnityServer : accepting, port: 61869
22:30:38.394 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:30:38.396 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Didn't find 'analytics' in C:\Users\TEMP.DESKTOP-M5JHNSQ.000\AppData\Roaming\RiderFlow. Creating new 'analytics' file.
22:30:38.401 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Generated new uuid. Saved it to 'analytics' in C:\Users\TEMP.DESKTOP-M5JHNSQ.000\AppData\Roaming\RiderFlow.
22:30:38.402 |I| Launcher                       | :1                             | Subscribing for events
22:32:28.328 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:32:28.335 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:32:28.802 |V| Launcher                       | :1                             | Ready!
